submittal_id,job_id,type,submitted_date,required_by_date,reviewed_date,status,overdue,resubmit_count
SUB-0001,PRG-2024-0039,Environmental Compliance,2024-11-17,2024-11-25,,Pending Review,True,0
SUB-0002,PRG-2024-0043,Pipe Specifications,2024-09-29,2024-10-19,2024-10-09,Approved with Comments,False,0
SUB-0003,PRG-2024-0088,Concrete Mix Design,2025-01-14,2025-01-21,2025-01-30,Rejected,False,0
SUB-0004,PRG-2024-0079,Crew Qualifications,2024-08-15,2024-09-02,,Pending Review,True,0
SUB-0005,PRG-2024-0165,Concrete Mix Design,2024-11-11,2024-11-29,,Resubmit Required,True,1
SUB-0006,PRG-2024-0175,Crew Qualifications,2025-01-20,2025-01-28,2025-01-30,Approved with Comments,False,0
SUB-0007,PRG-2024-0188,Pipe Specifications,2025-01-19,2025-02-04,2025-01-24,Rejected,False,0
SUB-0008,PRG-2024-0043,Traffic Control Plan,2025-01-15,2025-01-29,2025-01-28,Approved,False,0
SUB-0009,PRG-2024-0150,Pipe Specifications,2024-10-10,2024-10-17,2024-10-18,Approved,False,0
SUB-0010,PRG-2024-0003,Material Data Sheet,2024-09-12,2024-10-01,2024-09-24,Approved,False,0
SUB-0011,PRG-2024-0127,Safety Plan,2024-10-18,2024-11-06,,Pending Review,True,0
SUB-0012,PRG-2024-0042,Safety Plan,2024-12-03,2024-12-20,2024-12-16,Approved,False,0
SUB-0013,PRG-2024-0009,Concrete Mix Design,2024-10-05,2024-10-25,,Pending Review,True,0
SUB-0014,PRG-2024-0141,Environmental Compliance,2024-08-08,2024-08-26,2024-08-20,Approved with Comments,False,0
SUB-0015,PRG-2024-0108,Concrete Mix Design,2024-11-09,2024-11-27,,Resubmit Required,True,0
SUB-0016,PRG-2024-0135,Shoring Plan,2024-10-13,2024-10-20,,Pending Review,True,0
SUB-0017,PRG-2024-0042,Concrete Mix Design,2024-11-23,2024-12-01,2024-11-26,Approved,False,0
SUB-0018,PRG-2024-0034,Pipe Specifications,2024-08-16,2024-09-02,2024-08-27,Approved,False,0
SUB-0019,PRG-2024-0149,Traffic Control Plan,2025-01-12,2025-01-25,,Pending Review,True,0
SUB-0020,PRG-2024-0129,Crew Qualifications,2024-10-10,2024-10-31,,Resubmit Required,True,0
SUB-0021,PRG-2024-0043,Crew Qualifications,2024-11-28,2024-12-08,2024-12-05,Approved,False,0
SUB-0022,PRG-2024-0157,Crew Qualifications,2024-07-24,2024-08-05,2024-08-03,Approved,False,0
SUB-0023,PRG-2024-0054,Concrete Mix Design,2024-12-31,2025-01-20,,Pending Review,True,0
SUB-0024,PRG-2024-0045,Pipe Specifications,2024-08-04,2024-08-18,2024-08-14,Approved with Comments,False,0
SUB-0025,PRG-2024-0176,Material Data Sheet,2024-09-04,2024-09-13,2024-09-23,Approved with Comments,False,0
SUB-0026,PRG-2024-0061,Environmental Compliance,2024-08-31,2024-09-15,,Pending Review,True,0
SUB-0027,PRG-2024-0102,Shoring Plan,2024-11-12,2024-11-27,,Pending Review,True,0
SUB-0028,PRG-2024-0083,Material Data Sheet,2025-01-13,2025-01-29,2025-01-22,Approved,False,0
SUB-0029,PRG-2024-0161,Concrete Mix Design,2024-07-08,2024-07-15,2024-07-21,Approved,False,0
SUB-0030,PRG-2024-0013,Shoring Plan,2024-12-17,2024-12-28,,Pending Review,True,0
SUB-0031,PRG-2024-0003,Safety Plan,2024-11-25,2024-12-10,,Pending Review,True,0
SUB-0032,PRG-2024-0030,Shoring Plan,2024-08-10,2024-08-22,2024-08-22,Approved,False,0
SUB-0033,PRG-2024-0051,Traffic Control Plan,2024-10-24,2024-10-31,,Resubmit Required,True,1
SUB-0034,PRG-2024-0060,Environmental Compliance,2024-08-06,2024-08-22,,Pending Review,True,0
SUB-0035,PRG-2024-0005,Pipe Specifications,2024-09-30,2024-10-12,2024-10-10,Rejected,False,0
SUB-0036,PRG-2024-0200,Concrete Mix Design,2024-07-19,2024-07-26,,Pending Review,True,0
SUB-0037,PRG-2024-0057,Material Data Sheet,2024-09-26,2024-10-12,,Pending Review,True,0
SUB-0038,PRG-2024-0166,Environmental Compliance,2024-07-01,2024-07-14,,Pending Review,True,0
SUB-0039,PRG-2024-0021,Safety Plan,2024-12-25,2025-01-14,,Resubmit Required,True,1
SUB-0040,PRG-2024-0109,Shoring Plan,2024-11-20,2024-12-11,2024-12-10,Approved,False,0
SUB-0041,PRG-2024-0084,Concrete Mix Design,2024-12-30,2025-01-11,2025-01-10,Rejected,False,0
SUB-0042,PRG-2024-0017,Material Data Sheet,2024-07-09,2024-07-19,,Pending Review,True,0
SUB-0043,PRG-2024-0070,Crew Qualifications,2024-09-17,2024-10-03,2024-09-26,Approved with Comments,False,0
SUB-0044,PRG-2024-0171,Shoring Plan,2024-10-22,2024-11-06,,Pending Review,True,0
SUB-0045,PRG-2024-0020,Traffic Control Plan,2025-01-15,2025-01-28,,Pending Review,True,0
SUB-0046,PRG-2024-0073,Crew Qualifications,2024-11-04,2024-11-23,,Resubmit Required,True,1
SUB-0047,PRG-2024-0194,Material Data Sheet,2024-09-21,2024-10-06,,Resubmit Required,True,1
SUB-0048,PRG-2024-0102,Shoring Plan,2025-01-15,2025-01-25,,Pending Review,True,0
SUB-0049,PRG-2024-0117,Traffic Control Plan,2025-01-07,2025-01-21,2025-01-12,Approved,False,0
SUB-0050,PRG-2024-0013,Concrete Mix Design,2024-11-22,2024-11-30,2024-12-08,Approved with Comments,False,0
